"","pct_Intrans"
"1",23.5087719298246
"2",18.859649122807
"3",23.2456140350877
"4",22.0175438596491
"5",22.9824561403509
"6",22.9824561403509
"7",20
"8",23.2456140350877
"9",22.1052631578947
"10",20.0877192982456
"11",19.7368421052632
"12",19.8245614035088
"13",19.3859649122807
"14",20.1754385964912
"15",23.9473684210526
"16",25.0877192982456
"17",23.2456140350877
"18",17.6315789473684
"19",21.2280701754386
"20",26.3157894736842
"21",19.5614035087719
"22",20.4385964912281
"23",21.140350877193
"24",22.6315789473684
"25",25.5263157894737
"26",20.4385964912281
"27",21.3157894736842
"28",23.0701754385965
"29",21.4035087719298
"30",22.280701754386
"31",21.0526315789474
"32",21.6666666666667
"33",21.7543859649123
"34",22.0175438596491
"35",20.3508771929825
"36",21.9298245614035
"37",21.3157894736842
"38",19.4736842105263
"39",22.1929824561403
"40",25.2631578947368
"41",19.3859649122807
"42",22.4561403508772
"43",24.1228070175439
"44",20.5263157894737
"45",20
"46",17.1929824561404
"47",22.1052631578947
"48",21.5789473684211
"49",21.6666666666667
"50",22.3684210526316
"51",19.0350877192982
"52",21.140350877193
"53",20.2631578947368
"54",23.5964912280702
"55",19.8245614035088
"56",25
"57",18.6842105263158
"58",18.5087719298246
"59",21.4912280701754
"60",21.3157894736842
"61",24.3859649122807
"62",19.6491228070175
"63",23.5964912280702
"64",20.6140350877193
"65",17.5438596491228
"66",22.4561403508772
"67",21.3157894736842
"68",26.0526315789474
"69",21.2280701754386
"70",23.3333333333333
"71",21.5789473684211
"72",20.2631578947368
"73",19.8245614035088
"74",21.6666666666667
"75",21.0526315789474
"76",25.9649122807018
"77",24.3859649122807
"78",23.1578947368421
"79",20.3508771929825
"80",24.5614035087719
"81",22.8947368421053
"82",21.140350877193
"83",22.8947368421053
"84",19.7368421052632
"85",22.8070175438596
"86",24.7368421052632
"87",24.1228070175439
"88",20.3508771929825
"89",22.719298245614
"90",19.2982456140351
"91",22.280701754386
"92",20.6140350877193
"93",24.3859649122807
"94",20.8771929824561
"95",19.2105263157895
"96",22.9824561403509
"97",22.4561403508772
"98",21.0526315789474
"99",23.1578947368421
"100",22.719298245614
"101",19.1228070175439
"102",22.9824561403509
"103",22.8947368421053
"104",22.4561403508772
"105",22.280701754386
"106",23.6842105263158
"107",19.8245614035088
"108",20.9649122807018
"109",25.7017543859649
"110",21.140350877193
"111",25.6140350877193
"112",25.4385964912281
"113",23.0701754385965
"114",22.4561403508772
"115",22.4561403508772
"116",22.4561403508772
"117",18.9473684210526
"118",16.0526315789474
"119",24.8245614035088
"120",22.1052631578947
"121",19.7368421052632
"122",21.4912280701754
"123",22.0175438596491
"124",19.4736842105263
"125",20.5263157894737
"126",20.2631578947368
"127",23.5964912280702
"128",24.8245614035088
"129",21.7543859649123
"130",20.6140350877193
"131",21.3157894736842
"132",25.2631578947368
"133",21.4912280701754
"134",20.2631578947368
"135",22.6315789473684
"136",17.0175438596491
"137",20.1754385964912
"138",19.2982456140351
"139",21.0526315789474
"140",19.4736842105263
"141",18.9473684210526
"142",20.9649122807018
"143",21.5789473684211
"144",24.8245614035088
"145",20.4385964912281
"146",22.3684210526316
"147",20.8771929824561
"148",18.6842105263158
"149",20.7894736842105
"150",23.1578947368421
"151",22.8070175438596
"152",18.0701754385965
"153",19.8245614035088
"154",20.2631578947368
"155",19.2105263157895
"156",17.0175438596491
"157",19.8245614035088
"158",23.4210526315789
"159",22.6315789473684
"160",22.8947368421053
"161",23.6842105263158
"162",19.5614035087719
"163",20.5263157894737
"164",22.1929824561403
"165",25.5263157894737
"166",21.7543859649123
"167",24.5614035087719
"168",20.7894736842105
"169",19.0350877192982
"170",22.5438596491228
"171",24.7368421052632
"172",23.7719298245614
"173",22.4561403508772
"174",22.280701754386
"175",21.3157894736842
"176",18.4210526315789
"177",23.3333333333333
"178",22.280701754386
"179",22.9824561403509
"180",26.2280701754386
"181",23.5087719298246
"182",20.9649122807018
"183",22.0175438596491
"184",20.0877192982456
"185",24.9122807017544
"186",22.1052631578947
"187",25.7017543859649
"188",23.9473684210526
"189",23.6842105263158
"190",22.280701754386
"191",19.8245614035088
"192",23.4210526315789
"193",20.7017543859649
"194",21.8421052631579
"195",22.280701754386
"196",24.9122807017544
"197",20.1754385964912
"198",19.2982456140351
"199",21.140350877193
"200",19.8245614035088
"201",22.4561403508772
"202",22.8947368421053
"203",23.859649122807
"204",24.0350877192982
"205",21.7543859649123
"206",21.8421052631579
"207",20.0877192982456
"208",19.7368421052632
"209",19.0350877192982
"210",22.0175438596491
"211",23.0701754385965
"212",21.4912280701754
"213",20.6140350877193
"214",20
"215",22.3684210526316
"216",23.5964912280702
"217",20.4385964912281
"218",20.4385964912281
"219",20.9649122807018
"220",22.1929824561403
"221",19.3859649122807
"222",21.4912280701754
"223",22.0175438596491
"224",21.3157894736842
"225",19.2982456140351
"226",21.4912280701754
"227",21.6666666666667
"228",22.719298245614
"229",22.0175438596491
"230",20.2631578947368
"231",19.6491228070175
"232",21.2280701754386
"233",20.5263157894737
"234",22.5438596491228
"235",22.719298245614
"236",21.4912280701754
"237",20.3508771929825
"238",19.3859649122807
"239",22.3684210526316
"240",20.2631578947368
"241",25.0877192982456
"242",23.5964912280702
"243",22.719298245614
"244",25.1754385964912
"245",21.5789473684211
"246",23.5087719298246
"247",21.4912280701754
"248",22.8947368421053
"249",18.7719298245614
"250",22.4561403508772
"251",21.8421052631579
"252",22.280701754386
"253",21.8421052631579
"254",21.2280701754386
"255",22.8070175438596
"256",21.7543859649123
"257",20.7894736842105
